lag_bars,mean_chart_similarity,charts
1,0.2861,16454
2,0.2937,16454
3,0.2648,16454
4,0.2922,16454
5,0.2529,16454
6,0.2593,16454
7,0.2441,16454
8,0.2696,16452
9,0.2421,16443
10,0.2456,16443
11,0.2355,16436
12,0.2467,16426
13,0.2327,16423
14,0.2363,16418
15,0.231,16381
16,0.2428,16329
17,0.2303,16302
18,0.2343,16269
19,0.2285,16231
20,0.2354,16192
21,0.2283,16167
22,0.2309,16125
23,0.2267,16071
24,0.2377,16010
25,0.227,15981
26,0.2308,15954
27,0.2263,15916
28,0.2321,15874
29,0.2258,15858
30,0.2297,15848
31,0.2255,15796
32,0.2349,15733
