divisor,tol_3ms,tol_5ms,tol_10ms,gain_vs_half_pp
1,0.4891696002476886,0.489177060250943,0.48923756458672985,
2,0.7728217161436614,0.7728404279750287,0.7729793653837055,28.37
3,0.5173097629103806,0.5173600045897567,0.5182766782493178,
4,0.9280097321306544,0.9280647960220789,0.9287868089337372,15.52
6,0.8126488600373148,0.8128198630953392,0.8157373426001137,29.55
8,0.9436610662512586,0.9442047809635884,0.9506758598086513,1.61
12,0.9721239461818054,0.9735833453819942,0.9800093756991177,16.08
16,0.9478807078710536,0.9536841370325937,0.9929624554934557,0.95
24,0.9901768655489795,0.9934357741529763,0.9992181009848689,1.99
32,0.9623683639149504,0.9919411357108955,0.9997898422287621,3.83
48,0.9973869380865891,0.9996534189648285,0.9999963730370918,0.62
