metric,value
rosu_pp_py,4.0.2
charts,18452
errors,1
without_api_sr,13
without_api_sr_but_local,13
local_vs_api.n,18439
local_vs_api.pearson,0.99992
local_vs_api.spearman,0.99989
local_vs_api.mean_signed,0.0002
local_vs_api.mae,0.00021
local_vs_api.p50_abs,0.0
local_vs_api.p95_abs,0.0
local_vs_api.max_abs,1.89514
local_vs_api.share_abs_le_0.01,0.99967
local_vs_api.share_abs_le_0.1,0.99984
parsed_vs_local.n,18452
parsed_vs_local.pearson,1.0
parsed_vs_local.spearman,1.0
parsed_vs_local.mean_signed,-0.0
parsed_vs_local.mae,3e-05
parsed_vs_local.p50_abs,0.0
parsed_vs_local.p95_abs,0.0
parsed_vs_local.max_abs,0.02481
parsed_vs_local.share_abs_le_0.01,0.9994
parsed_vs_local.share_abs_le_0.1,1.0
roundtrip_vs_local.n,18451
roundtrip_vs_local.pearson,0.99979
roundtrip_vs_local.spearman,0.99998
roundtrip_vs_local.mean_signed,-0.00291
roundtrip_vs_local.mae,0.00433
roundtrip_vs_local.p50_abs,0.00026
roundtrip_vs_local.p95_abs,0.01278
roundtrip_vs_local.max_abs,0.83414
roundtrip_vs_local.share_abs_le_0.01,0.93805
roundtrip_vs_local.share_abs_le_0.1,0.99155
